phase,signal,dir,qe,qx,thr_e,thr_x,minh,maxh,stop,lev,killswitch,score,tot,dd,nt,wr,pf,sharpe,tot_train,tot_test,dd_test,cagr_test,pnl_2022,dd_2022,y2020,y2021,y2022,y2023,y2024,y2025,y2026,n_long,n_short
2,varswap_iv+gex_norm+rn_p_down10_AND,,0.7,0.4,,,10,90,0.15,1.0,True,-2.4092077349989496,-21.203292261192686,36.52089482933066,5,60.0,0.5428265153215859,-0.21314474153273708,-27.49838495839605,8.682693059445668,8.49290067846424,2.4788220502337976,-4.587104324562841,30.286845541195497,-24.012771514418485,0.0,-4.587104324562841,0.0,8.682693059445668,0.0,0.0,,
2,VOLwgt>=7,,0.7,0.4,,,10,90,0.12,1.0,False,-3.504690341116479,20.019672258137454,51.3655628872447,19,57.89473684210527,1.58970172701533,0.25638190816629486,-10.11238773129155,33.521927247719915,11.626792115100152,8.873647565233966,-13.93798635137501,51.3655628872447,4.445165129069206,0.0,-13.93798635137501,3.160772756204233,20.955505453935853,9.135942297799659,0.0,,
2,VOLwgt>=6,,0.7,0.4,,,10,90,0.12,1.0,True,-3.7698302309064418,-5.48036199783779,31.097793733750194,16,50.0,1.0629494015503498,0.023014372042832843,-20.021377947657946,18.181128377410396,17.297677344750145,5.035258580052382,-6.286726243529217,25.06925664234778,-14.656036603545042,0.0,-6.286726243529217,3.160772756204233,15.020809299408299,1.5819799528301148,0.0,,
2,varswap_iv_OR_rvi,,0.7,0.4,,,10,90,0.15,1.0,False,-5.455311320779739,35.764908002458526,52.06726024154129,16,62.5,1.6532430648564698,0.32187958875217604,-14.070672764936276,59.2296868371081,23.01606229650398,14.6599265909515,-23.606362988377107,52.06726024154129,12.482309517466783,0.0,-23.606362988377107,15.860900156014468,18.26357513175667,18.44912424957521,0.0,,
2,varswap_iv_OR_rvi,,0.7,0.4,,,10,90,0.1,1.0,False,-5.490085925871433,35.54658572542599,52.02563181105386,18,55.55555555555556,1.6163085913272222,0.32108488424754134,-14.139391238414522,59.10086549474472,23.075689561162584,14.632638816210019,-23.60732064398291,52.02563181105386,12.393765325921446,0.0,-23.60732064398291,15.860900156014445,18.26357513175667,18.353295541432324,0.0,,
3,rvi_q0.6_mom_pos,,0.6,0.4,,,10,90,0.1,1.0,False,5.651607811575099,80.336538808672,33.72329855777784,9,66.66666666666666,3.9933405767420447,0.5807496655727923,25.20319639074784,44.03509176064324,22.966586979485182,11.327562026480308,9.6051056834072,33.72329855777784,14.2311716320912,0.0,9.6051056834072,0.0,9.975211413498863,33.49629826835589,0.0,,
3,rvi_q0.6_ma200_only,,0.6,0.4,,,10,90,0.1,1.0,True,4.9165339884811115,25.093981716025105,40.75340268659122,19,57.89473684210527,1.4724725832583254,0.2720880439319158,-26.45922638111037,71.42973151930062,23.016221490704485,17.17650792452039,-19.779040258239966,35.299433155713736,-6.874048649108289,-3.1290333574556906,-19.779040258239966,8.993616749418475,10.708350637029618,44.810620847703795,0.0,,
3,rvi_q0.8_ma200_only,,0.8,0.4,,,10,90,0.1,1.0,True,3.6521039421302746,15.700794537044738,32.60909464163265,6,50.0,1.6462770608651458,0.2198830163544766,-22.449470542172445,49.19407429702143,23.0162214907045,12.485678492989095,-12.118255923745524,32.47902294363341,-11.755814278631727,0.0,-12.118255923745524,0.0,20.868104817953935,25.815913956123417,0.0,,
3,rvi_q0.6_mom_pos,,0.6,0.4,,,10,90,0.1,1.0,True,1.4033803802175635,32.13653149947056,25.22534788470765,8,62.5,2.3602223693256033,0.3756461107837885,-8.260875954413704,44.03509176064324,22.96658697948518,11.327562026480308,-19.125156181562243,25.22534788470765,13.433448170284713,0.0,-19.125156181562243,0.0,9.975211413498863,33.49629826835589,0.0,,
3,rvi_q0.6_mom_pos,,0.6,0.4,,,10,90,0.15,1.0,False,-0.013720820537280964,44.55540390360988,38.78013134756112,9,66.66666666666666,2.226860920874027,0.3889238083314451,0.3612398455171473,44.03509176064326,22.966586979485182,11.327562026480308,-12.141985053996896,38.78013134756112,14.2311716320912,0.0,-12.141985053996896,0.0,9.975211413498863,33.49629826835589,0.0,,
